tune,stage,n_ref,n_est,P_onset,R_onset,F_onset,P_std,R_std,F_std,P_strict,R_strict,F_strict,onset_mae_ms,offset_mae_ms,pitch_mae_cents,n_match_std,n_match_offset
Godvaersdagen,raw,1126,1165,0.9382,0.9707,0.9542,0.8798,0.9103,0.8948,0.8180,0.8464,0.8320,6.8476,10.5726,10.9877,1093,1025
Godvaersdagen,+pitch,1126,1160,0.9250,0.9529,0.9388,0.8707,0.8970,0.8836,0.8086,0.8330,0.8206,6.8220,10.6381,8.5605,1073,1010
Godvaersdagen,+offset,1126,1160,0.9250,0.9529,0.9388,0.8767,0.9032,0.8898,0.8216,0.8464,0.8338,6.8220,9.9969,8.5605,1073,1017
Spretten,raw,726,692,0.9624,0.9174,0.9394,0.8844,0.8430,0.8632,0.7948,0.7576,0.7757,7.6063,12.0696,8.5621,666,612
Spretten,+pitch,726,679,0.9337,0.8733,0.9025,0.8571,0.8017,0.8285,0.7673,0.7176,0.7416,7.6119,12.1063,8.7489,634,582
Spretten,+offset,726,677,0.9335,0.8705,0.9009,0.8597,0.8017,0.8297,0.7903,0.7369,0.7627,7.6231,10.4332,8.7433,632,582
AGGREGATE,raw,1852,1857,,,0.9484,,,0.8824,,,0.8099,7.1450,11.1594,10.0369,1759,1637
AGGREGATE,+pitch,1852,1839,,,0.9245,,,0.8620,,,0.7897,7.1317,11.2137,8.6344,1707,1592
AGGREGATE,+offset,1852,1837,,,0.9239,,,0.8662,,,0.8059,7.1360,10.1679,8.6322,1705,1599
